plant_nb	genotype	background	temperature	fluctuation	day.length	vernalization	bolt.survival	bolt	days.to.bolt	days.to.flower	rosette.leaf.num	cauline.leaf.num	blade.length.mm	total.leaf.length.mm
1	Col Ama	Col	12	Con	16	V	Y	Y	24	37	17	5	13.6	22.1
2	Col Ama	Col	12	Con	16	V	Y	Y	25	38	19	7	16.8	26.8
3	Col Ama	Col	12	Con	16	V	Y	Y	25	38	18	6	18.6	27.9
4	Col Ama	Col	12	Con	16	V	Y	Y	26	40	14	5	12.2	22.8
5	Col Ama	Col	12	Con	16	V	Y	Y	26	39	19	7	16	24.9
6	Col Ama	Col	12	Con	16	V	Y	Y	27	41	15	4	12.9	22.2
7	Col Ama	Col	12	Con	16	V	Y	Y	28	41	15	4	14.4	24.1
8	Col Ama	Col	12	Con	16	V	Y	Y	29	43	15	5	12.6	21.4
1	Col Ama	Col	12	Con	8	V	Y	Y	56	75	46	8	17.4	36
2	Col Ama	Col	12	Con	8	V	Y	Y	59	78	50	11	19.1	29.9
3	Col Ama	Col	12	Con	8	V	Y	Y	59	78	44	10	12.9	32.7
4	Col Ama	Col	12	Con	8	V	Y	Y	61	81	47	10	19.2	35
5	Col Ama	Col	12	Con	8	V	Y	Y	68	90	44	10	20.5	37.6
6	Col Ama	Col	12	Con	8	V	Y	Y	68	90	45	9	23.9	38.1
7	Col Ama	Col	12	Con	8	V	Y	Y	74	94	35	9	32.9	50.5
8	Col Ama	Col	12	Con	8	V	Y	Y	76	96	45	9	20.8	32.5
1	Col Ama	Col	12	Var	16	V	Y	Y	26	38	17	5	13.3	22.7
2	Col Ama	Col	12	Var	16	V	Y	Y	26	38	16	4	13.4	22
3	Col Ama	Col	12	Var	16	V	Y	Y	26	39	14	4	12.2	20.8
4	Col Ama	Col	12	Var	16	V	Y	Y	27	40	17	6	13.8	22.7
5	Col Ama	Col	12	Var	16	V	Y	Y	27	39	16	4	13.7	24.1
6	Col Ama	Col	12	Var	16	V	Y	Y	27	41	19	7	15.4	27.7
7	Col Ama	Col	12	Var	16	V	Y	Y	28	41	19	7	15.7	25.6
8	Col Ama	Col	12	Var	16	V	Y	Y	31	43	20	6	19	34.5
1	Col Ama	Col	12	Var	8	V	Y	Y	57	75	43	11	25.6	46.7
2	Col Ama	Col	12	Var	8	V	Y	Y	59	77	39	11	19.7	32.8
3	Col Ama	Col	12	Var	8	V	Y	Y	61	81	44	12	22.8	36.2
4	Col Ama	Col	12	Var	8	V	Y	Y	62	82	47	11	27.7	43.6
5	Col Ama	Col	12	Var	8	V	Y	Y	64	81	41	11	22.9	36.7
6	Col Ama	Col	12	Var	8	V	Y	Y	65	88	45	10	26	43.2
7	Col Ama	Col	12	Var	8	V	Y	Y	69	91	44	10	24.6	39.1
8	Col Ama	Col	12	Var	8	V	Y	Y	69	91	44	10	22.1	36.8
1	Col Ama	Col	22	Con	16	V	Y	Y	15	22	12	3	NA	17.4
2	Col Ama	Col	22	Con	16	V	Y	Y	16	23	12	2	NA	NA
3	Col Ama	Col	22	Con	16	V	Y	Y	17	22	12	3	NA	18.4
4	Col Ama	Col	22	Con	16	V	Y	Y	17	22	13	3	NA	20.1
5	Col Ama	Col	22	Con	16	V	Y	Y	17	21	10	1	NA	18.4
6	Col Ama	Col	22	Con	16	V	Y	Y	17	24	12	3	NA	NA
7	Col Ama	Col	22	Con	16	V	Y	Y	18	25	9	2	NA	NA
8	Col Ama	Col	22	Con	16	V	Y	Y	18	25	11	3	NA	NA
1	Col Ama	Col	22	Con	8	V	Y	Y	45	53	39	7	NA	NA
2	Col Ama	Col	22	Con	8	V	Y	Y	48	55	41	9	NA	NA
3	Col Ama	Col	22	Con	8	V	Y	Y	48	53	39	8	NA	NA
4	Col Ama	Col	22	Con	8	V	Y	Y	48	55	38	9	NA	NA
5	Col Ama	Col	22	Con	8	V	Y	Y	49	56	42	8	NA	NA
